iter	Passed	Remaining
0	3	1757
1	5	1283
2	6	1128
3	8	1048
4	10	998
5	11	960
6	13	932
7	14	907
8	16	891
9	17	879
10	19	867
11	21	857
12	22	848
13	24	842
14	25	836
15	27	832
16	29	827
17	30	820
18	32	814
19	33	810
20	35	805
21	36	800
22	38	797
23	40	811
24	42	808
25	44	805
26	45	800
27	47	798
28	49	799
29	50	797
30	52	794
31	54	791
32	57	811
33	59	811
34	64	856
35	66	859
36	69	867
37	72	883
38	76	904
39	82	944
40	84	941
41	86	946
42	89	950
43	90	943
44	92	936
45	94	930
46	95	924
47	98	925
48	100	920
49	101	914
50	103	908
51	104	903
52	106	898
53	108	895
54	110	895
55	112	893
56	115	896
57	117	893
58	119	892
59	121	891
60	123	891
61	126	890
62	128	892
63	131	895
64	133	894
65	136	895
66	138	893
67	140	891
68	142	887
69	144	885
70	146	887
71	149	886
72	151	885
73	153	883
74	155	881
75	157	880
76	159	877
77	161	874
78	164	874
79	166	872
80	168	869
81	169	865
82	171	860
83	172	856
84	174	852
85	176	848
86	177	844
87	179	840
88	181	839
89	183	835
90	184	831
91	186	827
92	188	823
93	189	820
94	192	819
95	194	816
96	195	813
97	197	810
98	199	808
99	201	806
100	203	803
101	205	800
102	206	797
103	208	795
104	211	794
105	213	792
106	215	790
107	217	788
108	219	787
109	222	787
110	224	785
111	226	785
112	228	783
113	230	781
114	232	778
115	234	774
116	235	771
117	237	768
118	238	764
119	240	761
120	241	757
121	243	754
122	245	751
123	247	749
124	249	748
125	251	746
126	253	745
127	255	742
128	257	739
129	259	737
130	260	734
131	262	731
132	264	728
133	265	726
134	267	723
135	269	720
136	270	717
137	272	715
138	274	712
139	277	712
140	279	712
141	282	713
142	284	710
143	286	707
144	288	705
145	290	704
146	292	701
147	294	699
148	295	696
149	297	693
150	298	690
151	300	687
152	301	684
153	303	682
154	305	680
155	307	678
156	309	676
157	312	675
158	313	672
159	315	669
160	316	667
161	318	664
162	321	663
163	322	661
164	324	658
165	325	655
166	327	653
167	329	650
168	330	647
169	332	645
170	334	642
171	335	640
172	337	637
173	338	634
174	340	632
175	342	630
176	344	629
177	346	627
178	349	626
179	351	624
180	353	622
181	355	621
182	357	619
183	360	619
184	363	619
185	366	618
186	368	616
187	370	615
188	373	614
189	375	612
190	378	611
191	380	610
192	382	608
193	384	606
194	386	605
195	389	603
196	391	602
197	394	601
198	396	599
199	398	597
200	401	597
201	403	595
202	406	594
203	408	592
204	411	591
205	413	590
206	415	588
207	417	586
208	420	586
209	423	584
210	425	582
211	427	580
212	429	578
213	431	577
214	434	575
215	436	573
216	438	572
217	440	570
218	442	568
219	445	567
220	447	565
221	450	563
222	453	562
223	455	560
224	457	559
225	459	557
226	462	555
227	464	554
228	466	552
229	469	550
230	471	548
231	473	546
232	475	544
233	477	543
234	480	541
235	482	540
236	485	538
237	487	536
238	489	535
239	493	534
240	498	535
241	501	534
242	503	532
243	507	532
244	511	532
245	517	534
246	523	535
247	530	539
248	536	540
249	542	542
250	546	542
251	550	541
252	557	543
253	561	543
254	565	543
255	570	544
256	574	542
257	577	541
258	580	540
259	588	543
260	592	542
261	599	544
262	602	543
263	607	543
264	610	541
265	616	541
266	620	541
267	623	539
268	626	538
269	631	538
270	634	536
271	637	534
272	639	532
273	642	529
274	647	529
275	650	527
276	652	524
277	655	523
278	658	521
279	661	519
280	664	517
281	666	515
282	671	514
283	672	511
284	674	509
285	676	506
286	678	503
287	680	501
288	682	498
289	685	496
290	688	494
291	691	492
292	693	490
293	696	487
294	697	484
295	699	482
296	702	480
297	705	478
298	708	476
299	710	473
300	713	471
301	718	470
302	722	469
303	725	467
304	728	465
305	732	464
306	735	462
307	738	460
308	740	457
309	742	455
310	745	453
311	748	451
312	751	449
313	754	446
314	759	446
315	765	445
316	770	444
317	781	447
318	785	445
319	789	444
320	793	442
321	798	441
322	801	439
323	806	438
324	810	436
325	814	434
326	818	432
327	821	430
328	824	428
329	826	425
330	830	424
331	833	421
332	838	420
333	842	418
334	846	416
335	849	414
336	853	412
337	858	411
338	863	409
339	866	407
340	868	404
341	871	402
342	874	400
343	877	397
344	878	394
345	880	391
346	882	388
347	883	386
348	886	383
349	889	381
350	892	378
351	894	375
352	895	373
353	898	370
354	900	367
355	902	365
356	904	362
357	906	359
358	909	357
359	913	355
360	916	353
361	918	350
362	920	347
363	922	344
364	924	342
365	927	339
366	930	337
367	932	334
368	935	331
369	937	329
370	939	326
371	941	323
372	943	321
373	945	318
374	946	315
375	948	312
376	950	310
377	951	307
378	953	304
379	955	301
380	957	298
381	958	296
382	960	293
383	962	290
384	964	287
385	965	285
386	967	282
387	968	279
388	970	277
389	972	274
390	974	271
391	975	268
392	977	266
393	979	263
394	981	260
395	982	258
396	984	255
397	986	252
398	988	250
399	990	247
400	992	244
401	994	242
402	995	239
403	997	237
404	999	234
405	1001	231
406	1003	229
407	1005	226
408	1007	224
409	1008	221
410	1010	218
411	1012	216
412	1013	213
413	1015	211
414	1018	208
415	1020	206
416	1022	203
417	1025	201
418	1026	198
419	1028	195
420	1030	193
421	1031	190
422	1033	188
423	1035	185
424	1037	183
425	1039	180
426	1040	177
427	1042	175
428	1044	172
429	1046	170
430	1047	167
431	1049	165
432	1052	162
433	1054	160
434	1057	157
435	1059	155
436	1061	153
437	1063	150
438	1064	147
439	1066	145
440	1068	142
441	1069	140
442	1071	137
443	1073	135
444	1075	132
445	1076	130
446	1078	127
447	1080	125
448	1082	122
449	1084	120
450	1086	118
451	1089	115
452	1091	113
453	1094	110
454	1096	108
455	1099	106
456	1101	103
457	1103	101
458	1105	98
459	1107	96
460	1110	93
461	1112	91
462	1114	89
463	1116	86
464	1118	84
465	1120	81
466	1123	79
467	1124	76
468	1126	74
469	1127	71
470	1129	69
471	1131	67
472	1133	64
473	1135	62
474	1137	59
475	1140	57
476	1143	55
477	1145	52
478	1147	50
479	1148	47
480	1150	45
481	1151	43
482	1153	40
483	1154	38
484	1156	35
485	1158	33
486	1160	30
487	1162	28
488	1163	26
489	1165	23
490	1166	21
491	1168	19
492	1171	16
493	1174	14
494	1177	11
495	1180	9
496	1183	7
497	1185	4
498	1188	2
499	1191	0
