iter	Passed	Remaining
0	5	5013
1	11	5689
2	17	5913
3	23	5884
4	27	5414
5	31	5208
6	34	4845
7	36	4574
8	40	4435
9	44	4406
10	47	4271
11	50	4135
12	52	4016
13	55	3940
14	59	3889
15	62	3828
16	65	3773
17	67	3704
18	70	3645
19	73	3624
20	76	3584
21	79	3538
22	84	3578
23	86	3533
24	90	3540
25	93	3508
26	96	3469
27	99	3438
28	101	3401
29	104	3380
30	107	3365
31	110	3336
32	112	3307
33	116	3303
34	118	3278
35	121	3255
36	124	3246
37	127	3222
38	129	3198
39	132	3182
40	135	3159
41	137	3138
42	140	3123
43	142	3106
44	145	3088
45	148	3070
46	151	3062
47	154	3070
48	157	3058
49	160	3047
50	168	3126
51	170	3110
52	173	3094
53	176	3094
54	180	3103
55	185	3121
56	187	3105
57	190	3093
58	193	3094
59	196	3079
60	199	3064
61	201	3056
62	205	3059
63	208	3056
64	213	3066
65	221	3129
66	224	3120
67	226	3108
68	229	3102
69	232	3088
70	236	3088
71	238	3074
72	241	3061
73	243	3051
74	247	3050
75	250	3043
76	252	3031
77	255	3020
78	258	3008
79	260	2996
80	263	2992
81	266	2981
82	268	2970
83	271	2962
84	274	2952
85	276	2942
86	279	2933
87	282	2925
88	284	2915
89	287	2907
90	290	2897
91	292	2888
92	295	2879
93	298	2873
94	300	2864
95	303	2855
96	306	2850
97	308	2841
98	311	2832
99	315	2839
100	318	2838
101	324	2858
102	328	2857
103	331	2854
104	336	2868
105	339	2860
106	341	2854
107	344	2845
108	347	2838
109	351	2842
110	353	2834
111	356	2826
112	359	2818
113	361	2810
114	364	2804
115	367	2800
116	369	2792
117	372	2784
118	375	2779
119	377	2771
120	380	2763
121	383	2757
122	385	2750
123	388	2743
124	390	2736
125	393	2730
126	396	2723
127	398	2716
128	401	2714
129	404	2707
130	407	2699
131	409	2695
132	412	2688
133	415	2682
134	417	2677
135	420	2671
136	423	2665
137	425	2659
138	428	2653
139	430	2646
140	433	2640
141	436	2637
142	439	2631
143	441	2625
144	444	2622
145	447	2616
146	449	2610
147	452	2606
148	455	2601
149	460	2612
150	463	2606
151	466	2601
152	468	2595
153	473	2602
154	477	2602
155	481	2602
156	484	2601
157	488	2602
158	491	2601
159	495	2603
160	500	2607
161	503	2604
162	506	2600
163	510	2602
164	513	2598
165	515	2592
166	518	2587
167	521	2581
168	524	2580
169	527	2575
170	530	2573
171	533	2567
172	536	2562
173	540	2563
174	542	2558
175	545	2554
176	548	2551
177	552	2551
178	553	2540
179	557	2539
180	558	2526
181	560	2521
182	564	2518
183	567	2516
184	570	2513
185	573	2508
186	576	2505
187	578	2500
188	582	2498
189	585	2494
190	587	2489
191	590	2486
192	593	2482
193	596	2480
194	599	2476
195	603	2473
196	605	2469
197	608	2466
198	611	2462
199	614	2457
200	617	2455
201	620	2449
202	623	2447
203	626	2446
204	630	2443
205	632	2438
206	635	2436
207	640	2437
208	644	2438
209	647	2434
210	650	2431
211	653	2429
212	657	2429
213	662	2432
214	665	2430
215	669	2430
216	671	2424
217	675	2424
218	681	2430
219	684	2427
220	687	2424
221	690	2419
222	693	2414
223	696	2413
